2022-12-13 10:54:22.732 [nacos-grpc-client-executor-9] INFO  com.alibaba.nacos.common.remote.client:60 - [6819a3fa-800c-44eb-a6b4-c8bd3672f244] Receive server push request, request = NotifySubscriberRequest, requestId = 5
2022-12-13 10:54:22.733 [nacos-grpc-client-executor-9] INFO  com.alibaba.nacos.common.remote.client:60 - [6819a3fa-800c-44eb-a6b4-c8bd3672f244] Ack server push request, request = NotifySubscriberRequest, requestId = 5
2022-12-13 11:01:56.442 [Thread-4] WARN  com.alibaba.nacos.common.notify.NotifyCenter:136 - [NotifyCenter] Start destroying Publisher
2022-12-13 11:01:56.442 [Thread-7] WARN  com.alibaba.nacos.common.http.HttpClientBeanHolder:108 - [HttpClientBeanHolder] Start destroying common HttpClient
2022-12-13 11:01:56.443 [Thread-4] WARN  com.alibaba.nacos.common.notify.NotifyCenter:153 - [NotifyCenter] Destruction of the end
2022-12-13 11:01:56.454 [Thread-7] WARN  com.alibaba.nacos.common.http.HttpClientBeanHolder:114 - [HttpClientBeanHolder] Destruction of the end
2022-12-13 11:01:56.695 [SpringApplicationShutdownHook] INFO  com.alibaba.druid.pool.DruidDataSource:2051 - {dataSource-1} closing ...
2022-12-13 11:01:56.699 [SpringApplicationShutdownHook] INFO  com.alibaba.druid.pool.DruidDataSource:2124 - {dataSource-1} closed
2022-12-13 11:01:56.699 [SpringApplicationShutdownHook] INFO  c.a.cloud.nacos.registry.NacosServiceRegistry:94 - De-registering from Nacos Server now...
2022-12-13 11:01:56.704 [SpringApplicationShutdownHook] INFO  c.a.cloud.nacos.registry.NacosServiceRegistry:114 - De-registration finished.
2022-12-13 11:01:57.052 [SpringApplicationShutdownHook] INFO  com.alibaba.nacos.common.remote.client:454 - Shutdown rpc client, set status to shutdown
2022-12-13 11:01:57.052 [SpringApplicationShutdownHook] INFO  com.alibaba.nacos.common.remote.client:456 - Shutdown client event executor java.util.concurrent.ScheduledThreadPoolExecutor@5b7c73ca[Running, pool size = 2, active threads = 2, queued tasks = 0, completed tasks = 0]
2022-12-13 11:01:57.052 [SpringApplicationShutdownHook] INFO  com.alibaba.nacos.common.remote.client:591 - Close current connection 1670900061924_172.20.0.1_55892
2022-12-13 11:01:57.058 [nacos-grpc-client-executor-103] INFO  c.a.nacos.common.remote.client.grpc.GrpcClient:60 - [1670900061924_172.20.0.1_55892]Ignore complete event,isRunning:false,isAbandon=false
2022-12-13 11:01:57.059 [SpringApplicationShutdownHook] INFO  c.a.nacos.common.remote.client.grpc.GrpcClient:85 - Shutdown grpc executor java.util.concurrent.ThreadPoolExecutor@691212e7[Running, pool size = 5, active threads = 0, queued tasks = 0, completed tasks = 104]
