2022-12-13 11:00:42.549 [nacos-grpc-client-executor-6] INFO  com.alibaba.nacos.common.remote.client:60 - [a3ab4e3d-9803-48cc-a58b-1007f8cd7c47] Receive server push request, request = NotifySubscriberRequest, requestId = 6
2022-12-13 11:00:42.551 [nacos-grpc-client-executor-6] INFO  com.alibaba.nacos.common.remote.client:60 - [a3ab4e3d-9803-48cc-a58b-1007f8cd7c47] Ack server push request, request = NotifySubscriberRequest, requestId = 6
2022-12-13 11:00:42.639 [main] INFO  com.alibaba.nacos.common.remote.client:454 - Shutdown rpc client, set status to shutdown
2022-12-13 11:00:42.639 [main] INFO  com.alibaba.nacos.common.remote.client:456 - Shutdown client event executor java.util.concurrent.ScheduledThreadPoolExecutor@97cb8dc[Running, pool size = 2, active threads = 2, queued tasks = 0, completed tasks = 0]
2022-12-13 11:00:42.639 [main] INFO  com.alibaba.nacos.common.remote.client:591 - Close current connection 1670900441757_172.20.0.1_55896
2022-12-13 11:00:42.645 [main] INFO  c.a.nacos.common.remote.client.grpc.GrpcClient:85 - Shutdown grpc executor java.util.concurrent.ThreadPoolExecutor@68303c3e[Running, pool size = 7, active threads = 0, queued tasks = 0, completed tasks = 7]
2022-12-13 11:00:42.657 [grpc-nio-worker-ELG-1-2] INFO  c.a.n.shaded.io.grpc.internal.AbstractClientStream:391 - Received trailers on closed stream:
 Metadata()
 {2}
2022-12-13 11:00:42.730 [main] INFO  com.alibaba.nacos.common.remote.client:80 - [RpcClientFactory] create a new rpc client of c99df974-a3c4-4b81-9b5f-7f13a2f209ee
2022-12-13 11:00:42.730 [main] INFO  com.alibaba.nacos.common.remote.client:60 - [c99df974-a3c4-4b81-9b5f-7f13a2f209ee] RpcClient init label, labels = {module=naming, source=sdk}
2022-12-13 11:00:42.730 [main] INFO  com.alibaba.nacos.common.remote.client:60 - [c99df974-a3c4-4b81-9b5f-7f13a2f209ee] RpcClient init, ServerListFactory = com.alibaba.nacos.client.naming.core.ServerListManager
2022-12-13 11:00:42.730 [main] INFO  com.alibaba.nacos.common.remote.client:60 - [c99df974-a3c4-4b81-9b5f-7f13a2f209ee] Registry connection listener to current client:com.alibaba.nacos.client.naming.remote.gprc.redo.NamingGrpcRedoService
2022-12-13 11:00:42.730 [main] INFO  com.alibaba.nacos.common.remote.client:60 - [c99df974-a3c4-4b81-9b5f-7f13a2f209ee] Register server push request handler:com.alibaba.nacos.client.naming.remote.gprc.NamingPushRequestHandler
2022-12-13 11:00:42.731 [main] INFO  com.alibaba.nacos.common.remote.client:60 - [c99df974-a3c4-4b81-9b5f-7f13a2f209ee] Try to connect to server on start up, server: {serverIp = '127.0.0.1', server main port = 8848}
2022-12-13 11:00:42.858 [main] INFO  com.alibaba.nacos.common.remote.client:60 - [c99df974-a3c4-4b81-9b5f-7f13a2f209ee] Success to connect to server [127.0.0.1:8848] on start up, connectionId = 1670900442737_172.20.0.1_55898
2022-12-13 11:00:42.858 [main] INFO  com.alibaba.nacos.common.remote.client:60 - [c99df974-a3c4-4b81-9b5f-7f13a2f209ee] Register server push request handler:com.alibaba.nacos.common.remote.client.RpcClient$ConnectResetRequestHandler
2022-12-13 11:00:42.858 [com.alibaba.nacos.client.remote.worker] INFO  com.alibaba.nacos.common.remote.client:60 - [c99df974-a3c4-4b81-9b5f-7f13a2f209ee] Notify connected event to listeners.
2022-12-13 11:00:42.858 [main] INFO  com.alibaba.nacos.common.remote.client:60 - [c99df974-a3c4-4b81-9b5f-7f13a2f209ee] Register server push request handler:com.alibaba.nacos.common.remote.client.RpcClient$$Lambda$1085/0x0000000800754c40
2022-12-13 11:00:42.869 [main] INFO  org.apache.coyote.http11.Http11NioProtocol:173 - Pausing ProtocolHandler ["http-nio-8080"]
2022-12-13 11:00:42.869 [main] INFO  org.apache.catalina.core.StandardService:173 - Stopping service [Tomcat]
2022-12-13 11:00:42.873 [main] INFO  org.apache.coyote.http11.Http11NioProtocol:173 - Stopping ProtocolHandler ["http-nio-8080"]
2022-12-13 11:00:42.874 [main] INFO  org.apache.coyote.http11.Http11NioProtocol:173 - Destroying ProtocolHandler ["http-nio-8080"]
2022-12-13 11:00:42.879 [main] INFO  o.s.b.a.l.ConditionEvaluationReportLoggingListener:136 - 

Error starting ApplicationContext. To display the conditions report re-run your application with 'debug' enabled.
2022-12-13 11:00:42.890 [main] ERROR o.s.b.diagnostics.LoggingFailureAnalysisReporter:40 - 

***************************
APPLICATION FAILED TO START
***************************

Description:

Web server failed to start. Port 8080 was already in use.

Action:

Identify and stop the process that's listening on port 8080 or configure this application to listen on another port.

2022-12-13 11:00:42.983 [Thread-4] WARN  com.alibaba.nacos.common.notify.NotifyCenter:136 - [NotifyCenter] Start destroying Publisher
2022-12-13 11:00:42.983 [Thread-7] WARN  com.alibaba.nacos.common.http.HttpClientBeanHolder:108 - [HttpClientBeanHolder] Start destroying common HttpClient
2022-12-13 11:00:42.984 [Thread-4] WARN  com.alibaba.nacos.common.notify.NotifyCenter:153 - [NotifyCenter] Destruction of the end
2022-12-13 11:00:42.984 [Thread-7] WARN  com.alibaba.nacos.common.http.HttpClientBeanHolder:114 - [HttpClientBeanHolder] Destruction of the end
2022-12-13 11:00:52.638 [main] INFO  com.runjian.stream.StreamManageApplication:55 - Starting StreamManageApplication using Java 11.0.16.1 on Miracle with PID 26476 (D:\Project\Work\Rundo-Video\DevCode\rundo-video\rundo-stream-manage\target\classes started by Miracle in D:\Project\Work\Rundo-Video\DevCode\rundo-video)
2022-12-13 11:00:52.640 [main] INFO  com.runjian.stream.StreamManageApplication:645 - No active profile set, falling back to 1 default profile: "default"
2022-12-13 11:00:52.995 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate:262 - Multiple Spring Data modules found, entering strict repository configuration mode
2022-12-13 11:00:52.996 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate:132 - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2022-12-13 11:00:53.008 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate:201 - Finished Spring Data repository scanning in 4 ms. Found 0 Redis repository interfaces.
2022-12-13 11:00:53.073 [main] WARN  org.mybatis.spring.mapper.ClassPathMapperScanner:44 - No MyBatis mapper was found in '[com.runjian.stream]' package. Please check your configuration.
2022-12-13 11:00:53.109 [main] INFO  o.springframework.cloud.context.scope.GenericScope:283 - BeanFactory id=7557b3e2-fa78-341e-a454-e9078617d694
2022-12-13 11:00:53.314 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer:108 - Tomcat initialized with port(s): 8082 (http)
2022-12-13 11:00:53.319 [main] INFO  org.apache.coyote.http11.Http11NioProtocol:173 - Initializing ProtocolHandler ["http-nio-8082"]
2022-12-13 11:00:53.319 [main] INFO  org.apache.catalina.core.StandardService:173 - Starting service [Tomcat]
2022-12-13 11:00:53.321 [main] INFO  org.apache.catalina.core.StandardEngine:173 - Starting Servlet engine: [Apache Tomcat/9.0.65]
2022-12-13 11:00:53.387 [main] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/]:173 - Initializing Spring embedded WebApplicationContext
2022-12-13 11:00:53.388 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext:290 - Root WebApplicationContext: initialization completed in 729 ms
2022-12-13 11:00:53.816 [main] INFO  c.a.d.s.b.a.DruidDataSourceAutoConfigure:55 - Init DruidDataSource
2022-12-13 11:00:54.048 [main] INFO  com.alibaba.druid.pool.DruidDataSource:972 - {dataSource-1} inited
2022-12-13 11:00:54.745 [main] INFO  com.alibaba.nacos.common.remote.client:80 - [RpcClientFactory] create a new rpc client of ff5f849f-cdcf-453c-89d2-032000099343
2022-12-13 11:00:54.770 [main] INFO  org.reflections.Reflections:232 - Reflections took 14 ms to scan 1 urls, producing 3 keys and 6 values 
2022-12-13 11:00:54.787 [main] INFO  org.reflections.Reflections:232 - Reflections took 8 ms to scan 1 urls, producing 4 keys and 9 values 
2022-12-13 11:00:54.793 [main] INFO  org.reflections.Reflections:232 - Reflections took 5 ms to scan 1 urls, producing 3 keys and 10 values 
2022-12-13 11:00:54.795 [main] WARN  org.reflections.Reflections:179 - given scan urls are empty. set urls in the configuration
2022-12-13 11:00:54.799 [main] INFO  org.reflections.Reflections:232 - Reflections took 3 ms to scan 1 urls, producing 1 keys and 5 values 
2022-12-13 11:00:54.807 [main] INFO  org.reflections.Reflections:232 - Reflections took 6 ms to scan 1 urls, producing 1 keys and 7 values 
2022-12-13 11:00:54.812 [main] INFO  org.reflections.Reflections:232 - Reflections took 4 ms to scan 1 urls, producing 2 keys and 8 values 
2022-12-13 11:00:54.813 [main] WARN  org.reflections.Reflections:179 - given scan urls are empty. set urls in the configuration
2022-12-13 11:00:54.813 [main] INFO  com.alibaba.nacos.common.remote.client:60 - [ff5f849f-cdcf-453c-89d2-032000099343] RpcClient init label, labels = {module=naming, source=sdk}
2022-12-13 11:00:54.814 [main] INFO  com.alibaba.nacos.common.remote.client:60 - [ff5f849f-cdcf-453c-89d2-032000099343] RpcClient init, ServerListFactory = com.alibaba.nacos.client.naming.core.ServerListManager
2022-12-13 11:00:54.814 [main] INFO  com.alibaba.nacos.common.remote.client:60 - [ff5f849f-cdcf-453c-89d2-032000099343] Registry connection listener to current client:com.alibaba.nacos.client.naming.remote.gprc.redo.NamingGrpcRedoService
2022-12-13 11:00:54.814 [main] INFO  com.alibaba.nacos.common.remote.client:60 - [ff5f849f-cdcf-453c-89d2-032000099343] Register server push request handler:com.alibaba.nacos.client.naming.remote.gprc.NamingPushRequestHandler
2022-12-13 11:00:54.815 [main] INFO  com.alibaba.nacos.common.remote.client:60 - [ff5f849f-cdcf-453c-89d2-032000099343] Try to connect to server on start up, server: {serverIp = '127.0.0.1', server main port = 8848}
2022-12-13 11:00:55.736 [main] INFO  com.alibaba.nacos.common.remote.client:60 - [ff5f849f-cdcf-453c-89d2-032000099343] Success to connect to server [127.0.0.1:8848] on start up, connectionId = 1670900455502_172.20.0.1_55902
2022-12-13 11:00:55.737 [main] INFO  com.alibaba.nacos.common.remote.client:60 - [ff5f849f-cdcf-453c-89d2-032000099343] Register server push request handler:com.alibaba.nacos.common.remote.client.RpcClient$ConnectResetRequestHandler
2022-12-13 11:00:55.737 [com.alibaba.nacos.client.remote.worker] INFO  com.alibaba.nacos.common.remote.client:60 - [ff5f849f-cdcf-453c-89d2-032000099343] Notify connected event to listeners.
2022-12-13 11:00:55.738 [main] INFO  com.alibaba.nacos.common.remote.client:60 - [ff5f849f-cdcf-453c-89d2-032000099343] Register server push request handler:com.alibaba.nacos.common.remote.client.RpcClient$$Lambda$1085/0x0000000800754c40
2022-12-13 11:00:55.764 [main] INFO  org.apache.coyote.http11.Http11NioProtocol:173 - Starting ProtocolHandler ["http-nio-8082"]
2022-12-13 11:00:55.770 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer:220 - Tomcat started on port(s): 8082 (http) with context path ''
2022-12-13 11:00:55.781 [main] INFO  c.a.cloud.nacos.registry.NacosServiceRegistry:75 - nacos registry, DEFAULT_GROUP stream-manage 192.168.0.137:8082 register finished
2022-12-13 11:00:56.010 [main] INFO  com.runjian.stream.StreamManageApplication:61 - Started StreamManageApplication in 3.895 seconds (JVM running for 4.417)
2022-12-13 11:00:56.268 [nacos-grpc-client-executor-8] INFO  com.alibaba.nacos.common.remote.client:60 - [ff5f849f-cdcf-453c-89d2-032000099343] Receive server push request, request = NotifySubscriberRequest, requestId = 7
2022-12-13 11:00:56.270 [nacos-grpc-client-executor-8] INFO  com.alibaba.nacos.common.remote.client:60 - [ff5f849f-cdcf-453c-89d2-032000099343] Ack server push request, request = NotifySubscriberRequest, requestId = 7
2022-12-13 11:01:56.469 [Thread-7] WARN  com.alibaba.nacos.common.http.HttpClientBeanHolder:108 - [HttpClientBeanHolder] Start destroying common HttpClient
2022-12-13 11:01:56.469 [Thread-4] WARN  com.alibaba.nacos.common.notify.NotifyCenter:136 - [NotifyCenter] Start destroying Publisher
2022-12-13 11:01:56.469 [Thread-4] WARN  com.alibaba.nacos.common.notify.NotifyCenter:153 - [NotifyCenter] Destruction of the end
2022-12-13 11:01:56.469 [Thread-7] WARN  com.alibaba.nacos.common.http.HttpClientBeanHolder:114 - [HttpClientBeanHolder] Destruction of the end
2022-12-13 11:01:56.718 [SpringApplicationShutdownHook] INFO  com.alibaba.druid.pool.DruidDataSource:2051 - {dataSource-1} closing ...
2022-12-13 11:01:56.725 [SpringApplicationShutdownHook] INFO  com.alibaba.druid.pool.DruidDataSource:2124 - {dataSource-1} closed
2022-12-13 11:01:56.725 [SpringApplicationShutdownHook] INFO  c.a.cloud.nacos.registry.NacosServiceRegistry:94 - De-registering from Nacos Server now...
2022-12-13 11:01:56.729 [SpringApplicationShutdownHook] INFO  c.a.cloud.nacos.registry.NacosServiceRegistry:114 - De-registration finished.
2022-12-13 11:01:56.762 [SpringApplicationShutdownHook] INFO  com.alibaba.nacos.common.remote.client:454 - Shutdown rpc client, set status to shutdown
2022-12-13 11:01:56.763 [SpringApplicationShutdownHook] INFO  com.alibaba.nacos.common.remote.client:456 - Shutdown client event executor java.util.concurrent.ScheduledThreadPoolExecutor@47e248af[Running, pool size = 2, active threads = 2, queued tasks = 0, completed tasks = 0]
2022-12-13 11:01:56.763 [SpringApplicationShutdownHook] INFO  com.alibaba.nacos.common.remote.client:591 - Close current connection 1670900455502_172.20.0.1_55902
2022-12-13 11:01:56.767 [nacos-grpc-client-executor-23] INFO  c.a.nacos.common.remote.client.grpc.GrpcClient:60 - [1670900455502_172.20.0.1_55902]Ignore complete event,isRunning:false,isAbandon=false
2022-12-13 11:01:56.770 [SpringApplicationShutdownHook] INFO  c.a.nacos.common.remote.client.grpc.GrpcClient:85 - Shutdown grpc executor java.util.concurrent.ThreadPoolExecutor@49806010[Running, pool size = 5, active threads = 0, queued tasks = 0, completed tasks = 24]
